fileurl,name,website,author
https://raw.githubusercontent.com/stamparm/ipsum/master/levels/5.txt,false positive level 3,,
https://raw.githubusercontent.com/stamparm/ipsum/master/levels/6.txt,false positive level 2,,
https://raw.githubusercontent.com/stamparm/ipsum/master/levels/7.txt,false positive level 1,,
https://raw.githubusercontent.com/stamparm/ipsum/master/levels/8.txt,false positive level 0,,
"""-------------------- ZIP FILES FROM BELOW-------------------""",,,
#https://urlhaus.abuse.ch/downloads/csv/,zip file,,
"""------------------ JSON FILES FROM BELOW ----------------------""",,,
https://www.circl.lu/doc/misp/feed-osint,,,
https://www.botvrij.eu/data/feed-osint,,,
https://osint.digitalside.it/Threat-Intel/digitalside-misp-feed/,,,
https://osint.digitalside.it/Threat-Intel/lists/latestdomains.txt,,,
https://osint.digitalside.it/Threat-Intel/lists/latesthashes.txt,,,
https://osint.digitalside.it/Threat-Intel/lists/latestips.txt,,,
https://osint.digitalside.it/Threat-Intel/lists/latesturls.txt,,,
https://raw.githubusercontent.com/davidonzo/Threat-Intel/master/lists/latestips.txt,,,
